"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","No",0,0,"We inform the risks above certain level. We propose mitigations. If risk is left uncovered, we have no idea which criteria are used for approving or vetting new releases.","0.625","easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we consult the plan often, and it is aligned with our application security strategy",1,0.5,"As a developer there are clear guidelines on what we should do regarding security. The plan is consistent to what we hear from above our level, but we don’t know about the details of what actually happens in the upper levels of the company","0.625","easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","Yes, but review is ad-hoc",0.25,0.125,"It is not up to developers to do a review of the plan. We can propose small changes to the processes regarding security in the application, but general guidelines are enforced from above our level in the organization.","0.625","easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","No",0,NA,"I am not aware of any metrics regarding effectiveness or efficiency.","0.625","easy","very unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,"I am not aware of any KPIs.","0.625","easy","very unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"I am not aware of any KPIs.","0.625","easy","very unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for some applications",0.25,0.125,"For COMPANY part of the application, everything is the same. For other parts of COMPANY I know that there is the Security Reliability Model that tries to standardize security related things throughout the organization, but I don’t know about the specifics in other departments at COMPANY.","0.625","very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0.5,NA,"0.625","very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,NA,"0.625","very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,"No, but I guess the Security Reliability Model takes care of it.","0.625","easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
