"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers general risks",0.25,0.125,NA,"0.625","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we review it annually",0.25,0.25,NA,"0.625","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","Yes, we review it at regular times",0.5,0.25,NA,"0.625","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","No",0,NA,NA,"0.625","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for some of the metrics",0.25,NA,NA,"0.625","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"Not my area but is part of receiver of information","0.625","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.5,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, most or all of the content",1,0.5,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, but reporting is ad-hoc",0.25,0.125,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Compliance Management","Do you have a complete picture of your external compliance obligations?","No",0,NA,"For some we have known but not all new contracts signed are known","1.125","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","No",0,NA,NA,"1.125","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,NA,"1.125","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, most or all of them",1,0.75,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for some of the training",0.25,0.125,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","No",0,0.25,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for at least half of the teams",0.5,NA,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","No",0,NA,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","Yes, for part of the organization",0.5,NA,NA,"1.125","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","No",0,0,NA,"0.25","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","No",0,0,NA,"0.25","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","Yes, upon change of the application",0.5,0.25,NA,"0.25","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","NO ANSWER",0,NA,NA,"0.25","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","NO ANSWER",0,NA,NA,"0.25","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,NA,"0.25","difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,0.5,NA,"1.25","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","Yes, most or all of the time",1,0.5,NA,"1.25","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","Yes, for at least half of the applications",0.5,0.25,NA,"1.25","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,NA,"1.25","easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
