"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","No",0,0,"Do not undersant what risk appertite is. In COMPANY and EWP we do have high focus on securtiy with both corprate and organisation processes.","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","No",0,0,NA,"0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","No",0,0,NA,"0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,"I do not know if this is done within the security team.","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,"I am not aware of KPIs","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"Wedo have security assesments for PA-DSS, etc. but do not know about KPIs and review of these might be in security team","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.5,"We have security design rules and organization was resently assesed on process for e.g. ISO 9001","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,NA,"0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,"Not part of SWT resp.","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Compliance Management","Do you have a complete picture of your external compliance obligations?","No",0,NA,NA,"0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,"I do not know what test that are done for compliance","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,"SWT do not report this","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","NO ANSWER",0,0,"I do not know how the security training is followed up and if it is done on 12 months bases.","1",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","NO ANSWER",0,0.5,"I cannot anser for other roles, we have had traing for SWT.","1",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","NO ANSWER",0,0.5,"Maybe line can naswer this. SWT have not done this learning managemnt.","1",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Organization and Culture","Have you identified a Security Champion for each development team?","NO ANSWER",0,NA,"The process state that we shal lhave security masters, but I can not answer if this is assigned and how the training is followed up.","1",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","Yes, for the entire organization",1,NA,"I would say yes. All requirments whne started have security representative in the Initiative analysis. There is also a risk assessment before F3.","1",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","Yes, for the entire organization",1,NA,"There are processes for e.g. vulnerability notifications to applications.","1",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","Yes, most or all of them",1,1,"I think all are classifed e.g. towrds GDPS.There is a standard clasification that is used in risk assesments.","1.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","Yes, for most or all of the applications",1,0.5,NA,"1.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","NO ANSWER",0,0,"I do not know","1.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","Yes, most or all of them",1,NA,"I think this is part of the risk assesment.","1.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","NO ANSWER",0,NA,NA,"1.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,"I do not know not in SWT.","1.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Software Requirements","Do project teams specify security requirements during development?","NO ANSWER",0,0,"We take the security design guide lines in account when defiing scope of new and updated requirment.","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","NO ANSWER",0,0,"Do not know how to answer. Security is not a separate requirment.","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","NO ANSWER",0,0,"Do not know","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,"I do not know details about sourcing process.","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,"I do not know who e.g. Oracle was validated and how they meet with this validation","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,"I do not know","0",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,0.5,"We do have security controles in the process and it is docuemnted in jira / confluence a part of F process.","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Architecture Design","Do you use shared security services during design?","NO ANSWER",0,0,"Can not answer how the DT works","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Architecture Design","Do you base your design on available reference architectures?","NO ANSWER",0,0,NA,"0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Technology Management","Do you evaluate the security quality of important technologies used for development?","NO ANSWER",0,NA,"Do not understnad the question.","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Technology Management","Do you have a list of recommended technologies for the organization?","NO ANSWER",0,NA,"We have a process for introducing new 3PPs.","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Technology Management","Do you enforce the use of recommended technologies within the organization?","NO ANSWER",0,NA,"Not sure about technoloty, but we have for infroducing 3PPs.","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Build Process","Is your full build process formally described?","NO ANSWER",0,0.5,NA,"0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Build Process","Is the build process fully automated?","NO ANSWER",0,0,NA,"0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Build Process","Do you enforce automated security checks in your build processes?","NO ANSWER",0,0,NA,"0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","Yes, for most or all of the applications",1,NA,"Yes and we are improving the 3pp scan to improve the verification of what is included in the deliverable.","0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","NO ANSWER",0,NA,NA,"0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","NO ANSWER",0,NA,NA,"0.5",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
"Deployment Process","Do you use repeatable deployment processes?","NO ANSWER",0,0,NA,"0.625",NA,NA,"8941cb9ef8174579ce6aade045499fd0","architect",63
