"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","No",0,0,"I do not understand the question.","0","difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0,"I assume or actually believe there is one but I do not know where it is and I have not seen it. Hard to answer since I am not involved in any strategy work in security area.","0","difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"I assume or actually believe there is one but I do not know where it is and I have not seen it. Hard to answer since I am not involved in any strategy work in security area.","0","difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","NO ANSWER",0,0,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Compliance Management","Do you have a complete picture of your external compliance obligations?","No",0,NA,NA,"0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","No",0,NA,NA,"0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","NO ANSWER",0,0.5,"I do not know what SDLC training is. If it is security, then yes, we do.","0.5","difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","NO ANSWER",0,0,"If this means security training, yes.","0.5","difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","NO ANSWER",0,0,"I do not know.","0.5","difficult",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,"0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","NO ANSWER",0,NA,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","NO ANSWER",0,NA,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","NO ANSWER",0,0,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","NO ANSWER",0,0,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","NO ANSWER",0,0,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","NO ANSWER",0,NA,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","NO ANSWER",0,NA,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,"I do not know.","0","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,0.5,"I think and assume so.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","NO ANSWER",0,0,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","NO ANSWER",0,0,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,0.5,NA,"0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Architecture Design","Do you use shared security services during design?","NO ANSWER",0,0,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Architecture Design","Do you base your design on available reference architectures?","NO ANSWER",0,0,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Technology Management","Do you evaluate the security quality of important technologies used for development?","NO ANSWER",0,NA,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
"Technology Management","Do you have a list of recommended technologies for the organization?","NO ANSWER",0,NA,"I do not know.","0.5","easy",NA,"b6bd0621cc0d30da13c6726de39c4dfa","verification",2
