"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers organization-specific risks",0.5,0.75,NA,"1.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we consult the plan before making significant decisions",0.5,0.25,NA,"1.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","Yes, but review is ad-hoc",0.25,0.25,NA,"1.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","Yes, for all three metrics categories",1,NA,NA,"1.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","No",0,NA,NA,"1.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","Yes, but review is ad-hoc",0.25,NA,NA,"1.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.5,NA,"1.375",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, some content",0.25,0.375,NA,"1.375",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, we report at regular times",0.5,0.5,NA,"1.375",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Compliance Management","Do you have a complete picture of your external compliance obligations?","No",0,NA,NA,"1.375",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","Yes, for at least half of the obligations",0.5,NA,NA,"1.375",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","Yes, we report at regular times",0.5,NA,NA,"1.375",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, some of them",0.25,0.625,NA,"2.125",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for at least half of the training",0.5,0.75,NA,"2.125",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,0.75,NA,"2.125",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,"2.125",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","Yes, for the entire organization",1,NA,NA,"2.125",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","Yes, for part of the organization",0.5,NA,NA,"2.125",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","Yes, most or all of them",1,1,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","Yes, for most or all of the applications",1,1,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","Yes, sporadically",0.25,0.25,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","Yes, most or all of them",1,NA,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","Yes, for most or all of the applications",1,NA,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","Yes, but review is ad-hoc",0.25,NA,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,1,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","Yes, most or all of the time",1,0.625,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","Yes, for most or all of the applications",1,0.625,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","Yes, most or all of the time",1,NA,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","Yes, some of the time",0.25,NA,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","Yes, some of the time",0.25,NA,NA,"2.25",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,1,NA,"1.875",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Architecture Design","Do you use shared security services during design?","Yes, for some applications",0.25,0.375,NA,"1.875",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Architecture Design","Do you base your design on available reference architectures?","No",0,0.5,NA,"1.875",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Technology Management","Do you evaluate the security quality of important technologies used for development?","Yes, for most or all of the applications",1,NA,NA,"1.875",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Technology Management","Do you have a list of recommended technologies for the organization?","Yes, for at least half of the technology domains",0.5,NA,NA,"1.875",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Technology Management","Do you enforce the use of recommended technologies within the organization?","Yes, for most or all of the applications",1,NA,NA,"1.875",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Build Process","Is your full build process formally described?","Yes, for most or all of the applications",1,0.625,NA,"1.5",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Build Process","Is the build process fully automated?","Yes, for at least half of the applications",0.5,0.75,NA,"1.5",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Build Process","Do you enforce automated security checks in your build processes?","Yes, for some applications",0.25,0.125,NA,"1.5",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","Yes, for some applications",0.25,NA,NA,"1.5",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","Yes, for most or all of the applications",1,NA,NA,"1.5",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","No",0,NA,NA,"1.5",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Deployment Process","Do you use repeatable deployment processes?","Yes, for most or all of the applications",1,1,NA,"1.875",NA,NA,"bfea410146cd967b392a87771e690515","development",0
"Deployment Process","Are deployment processes automated and employing security checks?","No",0,0.125,NA,"1.875",NA,NA,"bfea410146cd967b392a87771e690515","development",0
