"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers risks and opportunities",1,1,NA,"1.375","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we consult the plan before making significant decisions",0.5,0.375,"I refer to COMPANY Security Reliability Model for this question","1.375","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","No",0,0,"SRM is on higher COMPANY level, so would not say that we review it, but nothing stops us from sharing feedback on it","1.375","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","Yes, for all three metrics categories",1,NA,"Secuirty test report for each major or consecutive release.","1.375","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for some of the metrics",0.25,NA,"Current years metric is on Secuirty GPRs","1.375","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","No",0,NA,NA,"1.375","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for some applications",0.25,0.375,"Within prod development we use CIS-CAT. Within Managed service there are more polices, like PCI, NIST.","1.5","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, some content",0.25,0.375,NA,"1.5","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, we report at regular times",0.5,0.75,NA,"1.5","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Compliance Management","Do you have a complete picture of your external compliance obligations?","Yes, for at least half of the applications",0.5,NA,NA,"1.5","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","Yes, for at least half of the obligations",0.5,NA,"GPRs, compliance to PA-DSS etc","1.5","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","Yes, we report at least annually",1,NA,"GPR reporitng and PA-DSS","1.5","difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, most or all of them",1,1,NA,"2.125","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for some of the training",0.25,0.625,"Secure coding training for all developers,   Security bootcamp for Masters","2.125","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,0.5,"Successfactor and degreed","2.125","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,"2.125","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","Yes, for the entire organization",1,NA,NA,"2.125","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","No",0,NA,"Not what I am aware of.","2.125","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","NO ANSWER",0,0.5,NA,"1.25","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","NO ANSWER",0,0.5,NA,"1.25","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","Yes, upon change of the application",0.5,0.25,"Risk assessment for major and consecetive releases","1.25","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","Yes, most or all of them",1,NA,NA,"1.25","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","Yes, for most or all of the applications",1,NA,NA,"1.25","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,NA,"1.25","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Software Requirements","Do project teams specify security requirements during development?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Architecture Design","Do teams use security principles during design?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Architecture Design","Do you use shared security services during design?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Architecture Design","Do you base your design on available reference architectures?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Technology Management","Do you evaluate the security quality of important technologies used for development?","NO ANSWER",0,NA,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Technology Management","Do you have a list of recommended technologies for the organization?","NO ANSWER",0,NA,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Technology Management","Do you enforce the use of recommended technologies within the organization?","NO ANSWER",0,NA,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Build Process","Is your full build process formally described?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Build Process","Is the build process fully automated?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Build Process","Do you enforce automated security checks in your build processes?","NO ANSWER",0,0,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","NO ANSWER",0,NA,NA,"0","easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
