"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","NO ANSWER",0,0.5,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0.5,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","Yes, for all three metrics categories",1,NA,"We have several metrics that are followed up on a  monthly basis in SA BSS covering people and org,  product and customer","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for most or all of the metrics",1,NA,NA,"1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","No",0,NA,NA,"1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.5,"We incorporate standards into TEA, our own guidelines and checklists","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, some content",0.25,0.125,"We run a large number of tests. Don't know to what extent  they cover architecture and guidelines","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, we report at regular times",0.5,0.25,"We report for each release and also for the monthly follow up","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,"Don't know","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,"Don't know","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,"Don't know","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
