"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers organization-specific risks",0.5,0.25,NA,"0.5","difficult","confident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we consult the plan before making significant decisions",0.5,0.25,"The answer possibilites does not answer the question. I know that there is a strategic plan, but I have no idea how often it is used. This alternative does not exist. I can't just say ""Yes"" to the question. I would assume that it is used often as it exists.","0.5","difficult","confident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"I don't know if it is updated often","0.5","difficult","confident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,"I know that there are some metrics to compare to applications, but I can't say if these fulfills the criterria mentioned here","0.5","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,"Don't know","0.5","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"Don't know","0.5","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,1,"How do you define the organization? COMPANY, or COMPANY COMPANY? As far as I know there is only one application within COMPANY COMPANY, where we use some policies and standards.  Problem in Excel, I can't see the entire text to the left (one row is half visible, don't know if there is more text beneath) and I can't resize it.","1","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,"Don't know, I'm not a developer or working within security","1","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,"I know that we are doing some tests using for example CISCAT, but I have no idea how automated those are","1","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Compliance Management","Do you have a complete picture of your external compliance obligations?","Yes, for most or all of the applications",1,NA,"Can't say for certain that we have identified all external compliance obligations, but I know that we are working against contractual obligations, some standards like PA-DSS, GDPR, ISO 27001 as well as COMPANY secuirty requirements. Who can say that this is a complete picture or not?","1","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,"I don't know how the security requirements are mapped","1","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,"I don't know if we reporting the adherence somewhere, but If I needed to know then I would ask","1","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, some of them",0.25,0.625,"It depends on how you define application development. Our developers are required to participate in secure coding training, but myself working as product owner and system architect has never been invited to these courses even though I have asked for it (maybe asked the wrong person)","2.25","difficult","unconfident","ca0509100d924c2dc11dac5d0bd03729","architect",62
