"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers organization-specific risks",0.5,0.375,NA,"0.625","difficult","confident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","No",0,0.125,"I think we have a plan and that our Security team executes on it. I have not seen any specific plan in the organizations Leadership Team meetings","0.625","difficult","confident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","No",0,0.125,"I think we have a plan and that our Security Team updates it. But as I am not sure I answer no.","0.625","difficult","confident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","Yes, for one metrics category",0.25,NA,"Yes, for example Security GPRs are measured. I am pretty sure we also measure the number of Security Incidents","0.625","easy","very unconfident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for some of the metrics",0.25,NA,"Yes, in the COMPANY Leadership Team there is a KPI/Target on SOV of Security GPRs","0.625","easy","very unconfident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","Yes, but review is ad-hoc",0.25,NA,"Yes, plans are updated based on outcomes, not only on security measures and KPIs but priority of functionality to be implemented","0.625","easy","very unconfident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,1,"COMPANY policies shall apply both to Product, Product Customizations and Customer Adaptations","1.625","easy","confident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","No",0,0.5,"To my knowledge we have not implemented tests that verify Security GPRs","1.625","easy","confident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, but reporting is ad-hoc",0.25,0.125,"We report on security GPR compliance, usualy monthly","1.625","easy","confident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
"Compliance Management","Do you have a complete picture of your external compliance obligations?","Yes, for most or all of the applications",1,NA,"PA-DSS, ISO 27001","1.625","easy","confident","ce091a448d9d3c2dbc6f4e692fdff4af","management",-20535
