"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","NO ANSWER",0,0,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","NO ANSWER",0,0,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","NO ANSWER",0,0,NA,"0",NA,NA,"d43ff2fbcc8a4fa0428dfb569dcbf55a","operations",-64262879
