"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers risks and opportunities",1,0.5,NA,"1.625","easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we consult the plan often, and it is aligned with our application security strategy",1,0.625,NA,"1.625","easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","Yes, we review it at regular times",0.5,0.5,NA,"1.625","easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","No",0,NA,"I haven’t seen that effectiveness/efficiency is measured","1.625","difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for some of the metrics",0.25,NA,NA,"1.625","difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","Yes, we review it at regular times",0.5,NA,NA,"1.625","difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.625,NA,"1.375","easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, at least half of the content",0.5,0.375,"This area is currently approving a lot as we are introducing more automation throughout the pipeline from commit to release (e.g. SQ SAST, OWASP ZAP, kubeaudit, Anchore, Defensics…) The tools and result are accessible for all dev teams","1.375","easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, we report at regular times",0.5,0.375,"See the above","1.375","easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Compliance Management","Do you have a complete picture of your external compliance obligations?","Yes, for some applications",0.25,NA,"I’m not sure.. Probably","1.375","difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","Yes, for some obligations",0.25,NA,NA,"1.375","difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
