"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","NO ANSWER",0,0,"I am not selecting any answer because I am not in management but As a developer, we analyze technical and business risks for every feature we add in the product. and it documented. I am pretty sure our leadership makes decisions based on that.","0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0,"Not answering this because not my involved in this but we have security team and I know they have plans.","0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"probably yes.","0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","NO ANSWER",0,0,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, most or all of them",1,1,"All developers get the secure coding training. Not sure if it is called SDLC training.","1.625",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for some of the training",0.25,0.125,"I know we developers have trainings and then Security Masters have separate training and boot camps","1.625",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,0.5,NA,"1.625",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,"1.625",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","NO ANSWER",0,NA,NA,"1.625",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","NO ANSWER",0,NA,"We use confluence pages where we have developer guides. If you consider it as portal then yes otherwise No.","1.625",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","No",0,0,"We don’t have multiple application in COMPANY. We have one application which is classified as financial application","0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","NO ANSWER",0,0,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","NO ANSWER",0,0,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,NA,"0",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,0.5,NA,"1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","Yes, most or all of the time",1,0.5,NA,"1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","NO ANSWER",0,0,"It is done by our SWT team. Not sure if they use any framework","1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,"I am not involved in this process but I am certain that we do.","1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,NA,"1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,NA,"1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,1,NA,"1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Architecture Design","Do you use shared security services during design?","No",0,0,NA,"1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Architecture Design","Do you base your design on available reference architectures?","No",0,0,NA,"1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"Technology Management","Do you evaluate the security quality of important technologies used for development?","Yes, for most or all of the applications",1,NA,NA,"1",NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
