"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers general risks",0.25,0.125,NA,"0.375",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we consult the plan before making significant decisions",0.5,0.25,"We do security risk analysis on all requirement we implemet","0.375",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"I don't know but I guess so","0.375",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,"I don't know but I guess so","0.375",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","No",0,NA,NA,"0.375",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","No",0,NA,"I don't do but I guess somone else do","0.375",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","No",0,0,NA,"0",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","No",0,0,NA,"0",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","No",0,0,NA,"0",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
"Compliance Management","Do you have a complete picture of your external compliance obligations?","No",0,NA,NA,"0",NA,NA,"f603b3a6e36fa4ce73e0b2edaa085f9e","verification",0
