"","stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"1","Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","NO ANSWER",0,0,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"2","Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"3","Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"4","Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"5","Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"6","Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"7","Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","NO ANSWER",0,0,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"8","Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"9","Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"10","Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"11","Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"12","Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,NA,0,NA,NA,"229a43e68f7f67bd25211bf95ce5c4e8","development",2
"13","Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, some of them",0.25,0.625,NA,2.625,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"14","Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for most or all of the training",1,1,NA,2.625,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"15","Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,1,NA,2.625,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"16","Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,2.625,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"17","Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","Yes, for the entire organization",1,NA,NA,2.625,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"18","Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","Yes, for the entire organization",1,NA,NA,2.625,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"19","Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","Yes, most or all of them",1,1,NA,2.25,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"20","Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","Yes, for most or all of the applications",1,1,NA,2.25,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"21","Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","Yes, upon change of the application",0.5,0.25,"I’m not aware of any historical feedback we have to improve the method we use, but significant changes to an application do trigger a review of relevant risk profiles.",2.25,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"22","Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","Yes, most or all of them",1,NA,NA,2.25,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"23","Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","Yes, for most or all of the applications",1,NA,NA,2.25,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"24","Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","No",0,NA,NA,2.25,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"25","Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,0.5,NA,1.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"26","Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","Yes, most or all of the time",1,0.5,NA,1.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"27","Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","Yes, for most or all of the applications",1,0.5,NA,1.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"28","Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,NA,1.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"29","Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,NA,1.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"30","Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,NA,1.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"31","Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,0.5,NA,0.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"32","Architecture Design","Do you use shared security services during design?","NO ANSWER",0,0,NA,0.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"33","Architecture Design","Do you base your design on available reference architectures?","NO ANSWER",0,0,NA,0.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"34","Technology Management","Do you evaluate the security quality of important technologies used for development?","NO ANSWER",0,NA,NA,0.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"35","Technology Management","Do you have a list of recommended technologies for the organization?","NO ANSWER",0,NA,NA,0.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"36","Technology Management","Do you enforce the use of recommended technologies within the organization?","NO ANSWER",0,NA,NA,0.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"37","Build Process","Is your full build process formally described?","Yes, for most or all of the applications",1,1,NA,2.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
